iter	Passed	Remaining
1514	85083	139560
1515	85139	139502
1516	85190	139437
1517	85245	139380
1518	85296	139316
1519	85346	139250
1520	85402	139193
1521	85458	139136
1522	85516	139084
1523	85605	139080
1524	85656	139016
1525	85713	138961
1526	85768	138903
1527	85823	138845
1528	85875	138783
1529	85930	138724
1530	85981	138659
1531	86036	138602
1532	86091	138543
1533	86143	138481
1534	86198	138422
1535	86253	138365
1536	86304	138300
1537	86357	138239
1538	86408	138174
1539	86464	138118
1540	86518	138058
1541	86564	137987
1542	86643	137966
1543	86703	137917
1544	86759	137861
1545	86811	137798
1546	86865	137738
1547	86921	137681
1548	86977	137624
1549	87030	137564
1550	87081	137500
1551	87137	137444
1552	87194	137389
1553	87245	137323
1554	87299	137265
1555	87355	137208
1556	87409	137149
1557	87466	137094
1558	87517	137030
1559	87569	136968
1560	87626	136913
1561	87711	136902
1562	87777	136860
1563	87842	136818
1564	87900	136765
1565	87952	136703
1566	88003	136637
1567	88062	136587
1568	88112	136521
1569	88161	136453
1570	88220	136401
1571	88272	136338
1572	88324	136276
1573	88380	136220
1574	88433	136159
1575	88486	136098
1576	88544	136045
1577	88599	135987
1578	88652	135926
1579	88708	135870
1580	88789	135851
1581	88846	135797
1582	88898	135735
1583	88950	135671
1584	89001	135608
1585	89054	135547
1586	89105	135483
1587	89158	135421
1588	89214	135365
1589	89268	135305
1590	89320	135243
1591	89373	135182
1592	89422	135116
1593	89480	135062
1594	89534	135003
1595	89589	134944
1596	89646	134890
1597	89701	134832
1598	89754	134771
1599	89806	134709
1600	89997	134856
1601	90055	134802
1602	90111	134746
1603	90166	134687
1604	90220	134628
1605	90275	134569
1606	90328	134509
1607	90382	134450
1608	90438	134393
1609	90493	134334
1610	90545	134272
1611	90600	134215
1612	90655	134156
1613	90706	134093
1614	90758	134030
1615	90812	133971
1616	90864	133908
1617	90916	133846
1618	90969	133786
1619	91065	133787
1620	91113	133719
1621	91167	133660
1622	91220	133599
1623	91272	133537
1624	91330	133482
1625	91382	133420
1626	91438	133363
1627	91490	133302
1628	91549	133250
1629	91602	133188
1630	91652	133123
1631	91706	133064
1632	91765	133011
1633	91820	132954
1634	91880	132903
1635	91941	132855
1636	92007	132811
1637	92088	132792
1638	92158	132754
1639	92220	132707
1640	92280	132656
1641	92335	132598
1642	92393	132545
1643	92447	132486
1644	92506	132433
1645	92565	132380
1646	92632	132340
1647	92691	132288
1648	92749	132234
1649	92807	132180
1650	92863	132123
1651	92920	132068
1652	92979	132015
1653	93038	131963
1654	93095	131908
1655	93179	131891
1656	93232	131831
1657	93286	131771
1658	93338	131709
1659	93393	131650
1660	93445	131589
